record_id,model_name,model_family,first_release_year,publication_year,publication_status,bibliographic_title,authors,venue,doi,arxiv_id,url,zotero_key,candidate_id,observation_pathways,modality_group,multimodal,temporal_support,explicit_temporal,resolution_min_m,resolution_max_m,resolution_mid_m,parameters_m,ecohydrological_evidence,coding_basis,notes,release_date,release_year_v2,release_month_v2,release_date_basis,release_date_precision,metric_source,title
M001,SeCo,SeCo,2021,2021,Peer-reviewed,Seasonal Contrast: Unsupervised Pre-Training From Uncurated Remote Sensing Data,Oscar Mañas; Alexandre Lacoste; Xavier Giró-i-Nieto; David Vazquez; Pau Rodríguez,,,2103.16607,https://openaccess.thecvf.com/content/ICCV2021/html/Manas_Seasonal_Contrast_Unsupervised_Pre-Training_From_Uncurated_Remote_Sensing_Data_ICCV_2021_paper.html,X6JAXEKY,zotero:X6JAXEKY,O,Optical only,no,Paired/short sequence,yes,10.0,60.0,24.49489742783178,23.5,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2021-03-30,2021,3,arXiv v1 (2103.16607),day,Retained v2 primary-paper coding; no v5 metric change.,
M004,SatMAE,SatMAE,2022,2022,Peer-reviewed,SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,Yezhen Cong; Samar Khanna; Chenlin Meng; Patrick Liu; Erik Rozi; Yutong He; Marshall Burke; David Lobell; Stefano Ermon,,,2207.08051,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,ADJALD95,zotero:ADJALD95,O,Optical only,no,Paired/short sequence,yes,10.0,60.0,24.49489742783178,307.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2022-07-17,2022,7,arXiv v1 (2207.08051),day,Retained v2 primary-paper coding; no v5 metric change.,
M003,RingMo,RingMo,2022,2022,Peer-reviewed,RingMo: A Remote Sensing Foundation Model With Masked Image Modeling,Xian Sun; Peijin Wang; Wanxuan Lu; Zicong Zhu; Xiaonan Lu; Qibin He; Junxi Li; Xuee Rong; Zhujun Yang; Hao Chang; Qinglin He; Guang Yang; Ruiping Wang; Jiwen Lu; Kun Fu,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2022.3194732,,https://ieeexplore.ieee.org/document/9844015,29UYXUY8,zotero:29UYXUY8,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,0.3,30.0,3.0,87.8,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2022-07-28,2022,7,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M002,RSP,RSP,2022,2022,Peer-reviewed,Advancing Plain Vision Transformer Toward Remote Sensing Foundation Model,Di Wang; Qiming Zhang; Yufei Xu; Jing Zhang; Bo Du; Dacheng Tao; Liangpei Zhang,IEEE Transactions on Geoscience and Remote Sensing,10.1109/TGRS.2022.3222818,,https://ieeexplore.ieee.org/document/9956816,SZBXUAKX,zotero:SZBXUAKX,O,Optical only,no,Single/snapshot,no,0.5,153.0,8.74642784226795,100.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2022-11-21,2022,11,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M013,SatlasPretrain,SatlasPretrain,2023,2023,Peer-reviewed,SatlasPretrain: A Large-Scale Dataset for Remote Sensing Image Understanding,Favyen Bastani; Piper Wolters; Ritwik Gupta; Joe Ferdinando; Aniruddha Kembhavi,,,2211.1566,https://openaccess.thecvf.com/content/ICCV2023/html/Bastani_SatlasPretrain_A_Large-Scale_Dataset_for_Remote_Sensing_Image_Understanding_ICCV_2023_paper.html,8Y4PMBFW,zotero:8Y4PMBFW,"O,M",Optical + microwave/SAR,yes,Single/snapshot,no,1.0,10.0,3.1622776601683795,88.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2022-11-28,2022,11,arXiv v1 (2211.15660),day,Retained v2 primary-paper coding; no v5 metric change.,
M014,Scale-MAE,Scale-MAE,2023,2023,Peer-reviewed,Scale-MAE: A Scale-Aware Masked Autoencoder for Multiscale Geospatial Representation Learning,Colorado J Reed; Ritwik Gupta; Shufan Li; Sarah Brockman; Christopher Funk; Brian Clipp; Kurt Keutzer; Salvatore Candido; Matt Uyttendaele; Trevor Darrell,,10.1109/ICCV51070.2023.00378,2212.14532,https://ieeexplore.ieee.org/document/10377166,IEG74ET4,zotero:IEG74ET4,O,Optical only,no,Single/snapshot,no,,,,322.9,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2022-12-30,2022,12,arXiv v1 (2212.14532),day,Retained v2 primary-paper coding; no v5 metric change.,
M009,GFM,GFM,2023,2023,Peer-reviewed,Towards Geospatial Foundation Models via Continual Pretraining,Matías Mendieta; Boran Han; Xingjian Shi; Yi Zhu; Chen Chen,,10.1109/ICCV51070.2023.01541,2302.04476,https://ieeexplore.ieee.org/document/10376630,4QP7FB7I,zotero:4QP7FB7I,O,Optical only,no,Single/snapshot,no,0.1,30.0,1.7320508075688772,88.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-02-09,2023,2,arXiv v1 (2302.04476),day,Primary PDF GeoPile table; GFM comparison table in OpticalRS-13M paper for Swin-B parameter count.,
M005,BFM,BFM,2023,2024,Peer-reviewed,A Billion-Scale Foundation Model for Remote Sensing Images,Keumgang Cha; Junghoon Seo; Taekyung Lee,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,10.1109/JSTARS.2024.3401772,2304.05215,https://ieeexplore.ieee.org/document/10531642,2YMDF4I4,zotero:2YMDF4I4,O,Optical only,no,Single/snapshot,no,0.5,153.0,8.74642784226795,2420.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-04-11,2023,4,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M011,Presto,Presto,2023,2024,Preprint/technical report,"Lightweight, Pre-trained Transformers for Remote Sensing Timeseries",Gabriel Tseng; Ruben Cartuyvels; Ivan Zvonkov; Mirali Purohit; David Rolnick; Hannah Kerner,arXiv (Cornell University),10.48550/arXiv.2304.14065,2304.14065,http://arxiv.org/abs/2304.14065,ZDGVLD9I,zotero:ZDGVLD9I,"O,M,A",Broader multisensor/ancillary,yes,Explicit time series,yes,10.0,10.0,10.0,0.402,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-04-27,2023,4,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
M017,SSL4EO-L,SSL4EO,2023,2023,Preprint/technical report,SSL4EO-L: Datasets and Foundation Models for Landsat Imagery,Adam J. Stewart; Nils Lehmann; Isaac A. Corley; Yi Wang; Yi-Chia Chang; Nassim Ait Ali Braham; Shradha Sehgal; Caleb Robinson; Arindam Banerjee,arXiv (Cornell University),10.48550/arXiv.2306.09424,2306.09424,http://arxiv.org/abs/2306.09424,TMJRRFZF,zotero:TMJRRFZF,O,Optical only,no,Paired/short sequence,yes,30.0,30.0,30.0,86.0,Indirect/prospective,Primary paper/model documentation; survey cross-check,,2023-06-15,2023,6,Earliest indexed candidate record,day,Retained v2 primary-paper coding; no v5 metric change.,
