source_record_id,candidate_id,publication_role,release_date,release_year,title,model_name,doi,arxiv_id,url,multiple_observation_pathways,date_basis
X6JAXEKY,manual,Model release/description,2021-03-30,2021,Seasonal Contrast: Unsupervised Pre-Training From Uncurated Remote Sensing Data,SeCo,,2103.16607,https://openaccess.thecvf.com/content/ICCV2021/html/Manas_Seasonal_Contrast_Unsupervised_Pre-Training_From_Uncurated_Remote_Sensing_Data_ICCV_2021_paper.html,False,arXiv v1 (2103.16607)
4FW6MC74,C0649,Benchmark/evaluation,2021-12-01,2021,Toward Foundation Models for Earth Monitoring: Proposal for a Climate Change Benchmark,,,2112.00570,https://arxiv.org/abs/2112.00570v1,,Earliest indexed candidate record
ADJALD95,manual,Model release/description,2022-07-17,2022,SatMAE: Pre-training Transformers for Temporal and Multi-Spectral Satellite Imagery,SatMAE,,2207.08051,https://proceedings.neurips.cc/paper_files/paper/2022/hash/01c561df365429f33fcd7a7faa44c985-Abstract-Conference.html,False,arXiv v1 (2207.08051)
29UYXUY8,C0508,Model release/description,2022-07-28,2022,RingMo: A Remote Sensing Foundation Model With Masked Image Modeling,RingMo,10.1109/TGRS.2022.3194732,,https://ieeexplore.ieee.org/document/9844015,True,Earliest indexed candidate record
SZBXUAKX,C0059,Model release/description,2022-11-21,2022,Advancing Plain Vision Transformer Toward Remote Sensing Foundation Model,RSP,10.1109/TGRS.2022.3222818,,https://ieeexplore.ieee.org/document/9956816,False,Earliest indexed candidate record
8Y4PMBFW,manual,Model release/description,2022-11-28,2022,SatlasPretrain: A Large-Scale Dataset for Remote Sensing Image Understanding,SatlasPretrain,,2211.1566,https://openaccess.thecvf.com/content/ICCV2023/html/Bastani_SatlasPretrain_A_Large-Scale_Dataset_for_Remote_Sensing_Image_Understanding_ICCV_2023_paper.html,True,arXiv v1 (2211.15660)
IEG74ET4,manual,Model release/description,2022-12-30,2022,Scale-MAE: A Scale-Aware Masked Autoencoder for Multiscale Geospatial Representation Learning,Scale-MAE,10.1109/ICCV51070.2023.00378,2212.14532,https://ieeexplore.ieee.org/document/10377166,False,arXiv v1 (2212.14532)
JMTW6DCY,C0099,Review/perspective,2023-01-01,2023,Brain-Inspired Remote Sensing Foundation Models and Open Problems: A Comprehensive Survey,,10.1109/JSTARS.2023.3316302,,https://ieeexplore.ieee.org/document/10254282,,Earliest indexed candidate record
4QP7FB7I,manual,Model release/description,2023-02-09,2023,Towards Geospatial Foundation Models via Continual Pretraining,GFM,10.1109/ICCV51070.2023.01541,2302.04476,https://ieeexplore.ieee.org/document/10376630,False,arXiv v1 (2302.04476)
2YMDF4I4,C0003,Model release/description,2023-04-11,2023,A Billion-Scale Foundation Model for Remote Sensing Images,BFM,10.1109/JSTARS.2024.3401772,2304.05215,https://ieeexplore.ieee.org/document/10531642,False,Earliest indexed candidate record
ZDGVLD9I,C0382,Model release/description,2023-04-27,2023,"Lightweight, Pre-trained Transformers for Remote Sensing Timeseries",Presto,10.48550/arXiv.2304.14065,2304.14065,http://arxiv.org/abs/2304.14065,True,Earliest indexed candidate record
CMCMPMVT,C0285,Benchmark/evaluation,2023-06-06,2023,GEO-Bench: Toward Foundation Models for Earth Monitoring,,10.48550/arxiv.2306.03831,2306.03831,https://proceedings.neurips.cc/paper_files/paper/2023/hash/a0644215d9cff6646fa334dfa5d29c5a-Abstract-Datasets_and_Benchmarks.html,,Earliest indexed candidate record
TMJRRFZF,C0613,Model release/description,2023-06-15,2023,SSL4EO-L: Datasets and Foundation Models for Landsat Imagery,SSL4EO-L,10.48550/arXiv.2306.09424,2306.09424,http://arxiv.org/abs/2306.09424,False,Earliest indexed candidate record
C6EX8728,C0192,Model release/description,2023-09-13,2023,EarthPT: a time series foundation model for Earth Observation,EarthPT,10.48550/arXiv.2309.07207,2309.07207,http://arxiv.org/abs/2309.07207,False,Earliest indexed candidate record
K95HDFKL,C0713,Review/perspective,2023-09-13,2023,When Geoscience Meets Foundation Models: Toward a general geoscience artificial intelligence system,,10.1109/MGRS.2024.3496478,2309.06799,https://ieeexplore.ieee.org/document/10770814,,Earliest indexed candidate record
3DG82SVH,C0257,Model release/description,2023-10-28,2023,Foundation Models for Generalist Geospatial Artificial Intelligence,Prithvi-EO-1.0,10.48550/arXiv.2310.18660,2310.18660,http://arxiv.org/abs/2310.18660,False,Earliest indexed candidate record
UHV788LH,C0130,Model release/description,2023-11-01,2023,CROMA: Remote Sensing Representations with Contrastive Radar-Optical Masked Autoencoders,CROMA,10.48550/arxiv.2311.00566,2311.00566,https://proceedings.neurips.cc/paper_files/paper/2023/hash/11822e84689e631615199db3b75cd0e4-Abstract-Conference.html,True,Earliest indexed candidate record
S35XQMKJ,C0606,Model release/description,2023-11-13,2023,SpectralGPT: Spectral Remote Sensing Foundation Model,SpectralGPT,10.1109/TPAMI.2024.3362475,2311.07113,https://ieeexplore.ieee.org/document/10490262,False,Earliest indexed candidate record
GQ9N4NXM,C0246,Model release/description,2023-12-15,2023,"FoMo: Multi-Modal, Multi-Scale and Multi-Task Remote Sensing Foundation Models for Forest Monitoring",FoMo,10.1609/aaai.v39i27.35002,2312.10114,https://ojs.aaai.org/index.php/AAAI/article/view/35002,True,Earliest indexed candidate record
XZEZ2DQ2,C0590,Model release/description,2023-12-15,2023,SkySense: A Multi-Modal Remote Sensing Foundation Model Towards Universal Interpretation for Earth Observation Imagery,SkySense,10.1109/CVPR52733.2024.02613,2312.10115,https://ieeexplore.ieee.org/document/10655854,True,Earliest indexed candidate record
377I75PY,C0460,Benchmark/evaluation,2024-01-09,2024,PhilEO Bench: Evaluating Geo-Spatial Foundation Models,,10.1109/IGARSS53475.2024.10642780,2401.04464,https://ieeexplore.ieee.org/document/10642780,,Earliest indexed candidate record
38ZWGRBD,manual,Model release/description,2024-03-08,2024,Rethinking Transformers Pre-training for Multi-Spectral Satellite Imagery,SatMAE++,10.1109/CVPR52733.2024.02627,2403.05419,https://ieeexplore.ieee.org/abstract/document/10657832,False,arXiv v1 (2403.05419)
VT3H7HCH,C0412,Model release/description,2024-03-20,2024,MTP: Advancing Remote Sensing Foundation Model via Multitask Pretraining,MTP,10.1109/JSTARS.2024.3408154,2403.1343,https://ieeexplore.ieee.org/abstract/document/10547536,False,Earliest indexed candidate record
